# STATION: MTMET
# STATION NAME: U of U Mountain Met Lab
# LATITUDE: 40.766573
# LONGITUDE: -111.828211
# ELEVATION [ft]: 4996
# STATE: UT
Station_ID,Date_Time,ozone_concentration_set_1
,,ppb
MTMET,2017-09-02T04:03:00Z,
MTMET,2017-09-02T04:04:00Z,
MTMET,2017-09-02T04:05:00Z,60.06
MTMET,2017-09-02T04:06:00Z,
MTMET,2017-09-02T04:07:00Z,
MTMET,2017-09-02T04:08:00Z,
MTMET,2017-09-02T04:09:00Z,
MTMET,2017-09-02T04:10:00Z,60.33
MTMET,2017-09-02T04:11:00Z,
MTMET,2017-09-02T04:12:00Z,
MTMET,2017-09-02T04:13:00Z,
MTMET,2017-09-02T04:14:00Z,
MTMET,2017-09-02T04:15:00Z,60.58
MTMET,2017-09-02T04:16:00Z,
MTMET,2017-09-02T04:17:00Z,
MTMET,2017-09-02T04:18:00Z,
MTMET,2017-09-02T04:19:00Z,
MTMET,2017-09-02T04:20:00Z,59.96
MTMET,2017-09-02T04:21:00Z,
MTMET,2017-09-02T04:22:00Z,
MTMET,2017-09-02T04:23:00Z,
MTMET,2017-09-02T04:24:00Z,
MTMET,2017-09-02T04:25:00Z,60.67
MTMET,2017-09-02T04:26:00Z,
MTMET,2017-09-02T04:27:00Z,
MTMET,2017-09-02T04:28:00Z,
MTMET,2017-09-02T04:29:00Z,
MTMET,2017-09-02T04:30:00Z,59.26
MTMET,2017-09-02T04:31:00Z,
MTMET,2017-09-02T04:32:00Z,
MTMET,2017-09-02T04:33:00Z,
MTMET,2017-09-02T04:34:00Z,
MTMET,2017-09-02T04:35:00Z,60.49
MTMET,2017-09-02T04:36:00Z,
MTMET,2017-09-02T04:37:00Z,
MTMET,2017-09-02T04:38:00Z,
MTMET,2017-09-02T04:39:00Z,
MTMET,2017-09-02T04:40:00Z,60.67
MTMET,2017-09-02T04:41:00Z,
MTMET,2017-09-02T04:42:00Z,
MTMET,2017-09-02T04:43:00Z,
MTMET,2017-09-02T04:44:00Z,
MTMET,2017-09-02T04:45:00Z,61.07
MTMET,2017-09-02T04:46:00Z,
MTMET,2017-09-02T04:47:00Z,
MTMET,2017-09-02T04:48:00Z,
MTMET,2017-09-02T04:49:00Z,
MTMET,2017-09-02T04:50:00Z,61.14
MTMET,2017-09-02T04:51:00Z,
MTMET,2017-09-02T04:52:00Z,
MTMET,2017-09-02T04:53:00Z,
MTMET,2017-09-02T04:54:00Z,
MTMET,2017-09-02T04:55:00Z,61.5
MTMET,2017-09-02T04:56:00Z,
MTMET,2017-09-02T04:57:00Z,
MTMET,2017-09-02T04:58:00Z,
MTMET,2017-09-02T04:59:00Z,
MTMET,2017-09-02T05:00:00Z,62.12
MTMET,2017-09-02T05:01:00Z,
MTMET,2017-09-02T05:02:00Z,
MTMET,2017-09-02T05:03:00Z,
MTMET,2017-09-02T05:04:00Z,
MTMET,2017-09-02T05:05:00Z,62.51
MTMET,2017-09-02T05:06:00Z,
MTMET,2017-09-02T05:07:00Z,
MTMET,2017-09-02T05:08:00Z,
MTMET,2017-09-02T05:09:00Z,
MTMET,2017-09-02T05:10:00Z,62.84
MTMET,2017-09-02T05:11:00Z,
MTMET,2017-09-02T05:12:00Z,
MTMET,2017-09-02T05:13:00Z,
MTMET,2017-09-02T05:14:00Z,
MTMET,2017-09-02T05:15:00Z,63.54
MTMET,2017-09-02T05:16:00Z,
MTMET,2017-09-02T05:17:00Z,
MTMET,2017-09-02T05:18:00Z,
MTMET,2017-09-02T05:19:00Z,
MTMET,2017-09-02T05:20:00Z,63.52
MTMET,2017-09-02T05:21:00Z,
MTMET,2017-09-02T05:22:00Z,
MTMET,2017-09-02T05:23:00Z,
MTMET,2017-09-02T05:24:00Z,
MTMET,2017-09-02T05:25:00Z,63.36
MTMET,2017-09-02T05:26:00Z,
MTMET,2017-09-02T05:27:00Z,
MTMET,2017-09-02T05:28:00Z,
MTMET,2017-09-02T05:29:00Z,
MTMET,2017-09-02T05:30:00Z,64.08
MTMET,2017-09-02T05:31:00Z,
MTMET,2017-09-02T05:32:00Z,
MTMET,2017-09-02T05:33:00Z,
MTMET,2017-09-02T05:34:00Z,
MTMET,2017-09-02T05:35:00Z,63.43
MTMET,2017-09-02T05:36:00Z,
MTMET,2017-09-02T05:37:00Z,
MTMET,2017-09-02T05:38:00Z,
MTMET,2017-09-02T05:39:00Z,
MTMET,2017-09-02T05:40:00Z,64.64
MTMET,2017-09-02T05:41:00Z,
MTMET,2017-09-02T05:42:00Z,
MTMET,2017-09-02T05:43:00Z,
MTMET,2017-09-02T05:44:00Z,
MTMET,2017-09-02T05:45:00Z,64.01
MTMET,2017-09-02T05:46:00Z,
MTMET,2017-09-02T05:47:00Z,
MTMET,2017-09-02T05:48:00Z,
MTMET,2017-09-02T05:49:00Z,
MTMET,2017-09-02T05:50:00Z,64.79
MTMET,2017-09-02T05:51:00Z,
MTMET,2017-09-02T05:52:00Z,
MTMET,2017-09-02T05:53:00Z,
MTMET,2017-09-02T05:54:00Z,
MTMET,2017-09-02T05:55:00Z,63.76
MTMET,2017-09-02T05:56:00Z,
MTMET,2017-09-02T05:57:00Z,
MTMET,2017-09-02T05:58:00Z,
MTMET,2017-09-02T05:59:00Z,
MTMET,2017-09-02T06:00:00Z,62.89
MTMET,2017-09-02T06:01:00Z,
MTMET,2017-09-02T06:02:00Z,
MTMET,2017-09-02T06:03:00Z,
MTMET,2017-09-02T06:04:00Z,
MTMET,2017-09-02T06:05:00Z,63.15
MTMET,2017-09-02T06:06:00Z,
MTMET,2017-09-02T06:07:00Z,
MTMET,2017-09-02T06:08:00Z,
MTMET,2017-09-02T06:09:00Z,
MTMET,2017-09-02T06:10:00Z,62.6
MTMET,2017-09-02T06:11:00Z,
MTMET,2017-09-02T06:12:00Z,
MTMET,2017-09-02T06:13:00Z,
MTMET,2017-09-02T06:14:00Z,
MTMET,2017-09-02T06:15:00Z,60.65
MTMET,2017-09-02T06:16:00Z,
MTMET,2017-09-02T06:17:00Z,
MTMET,2017-09-02T06:18:00Z,
MTMET,2017-09-02T06:19:00Z,
MTMET,2017-09-02T06:20:00Z,61.28
MTMET,2017-09-02T06:21:00Z,
MTMET,2017-09-02T06:22:00Z,
MTMET,2017-09-02T06:23:00Z,
MTMET,2017-09-02T06:24:00Z,
MTMET,2017-09-02T06:25:00Z,60.9
MTMET,2017-09-02T06:26:00Z,
MTMET,2017-09-02T06:27:00Z,
MTMET,2017-09-02T06:28:00Z,
MTMET,2017-09-02T06:29:00Z,
MTMET,2017-09-02T06:30:00Z,60.33
MTMET,2017-09-02T06:31:00Z,
MTMET,2017-09-02T06:32:00Z,
MTMET,2017-09-02T06:33:00Z,
MTMET,2017-09-02T06:34:00Z,
MTMET,2017-09-02T06:35:00Z,60.67
MTMET,2017-09-02T06:36:00Z,
MTMET,2017-09-02T06:37:00Z,
MTMET,2017-09-02T06:38:00Z,
MTMET,2017-09-02T06:39:00Z,
MTMET,2017-09-02T06:40:00Z,61.77
MTMET,2017-09-02T06:41:00Z,
MTMET,2017-09-02T06:42:00Z,
MTMET,2017-09-02T06:43:00Z,
MTMET,2017-09-02T06:44:00Z,
MTMET,2017-09-02T06:45:00Z,61.83
MTMET,2017-09-02T06:46:00Z,
MTMET,2017-09-02T06:47:00Z,
MTMET,2017-09-02T06:48:00Z,
MTMET,2017-09-02T06:49:00Z,
MTMET,2017-09-02T06:50:00Z,61.05
MTMET,2017-09-02T06:51:00Z,
MTMET,2017-09-02T06:52:00Z,
MTMET,2017-09-02T06:53:00Z,
MTMET,2017-09-02T06:54:00Z,
MTMET,2017-09-02T06:55:00Z,61.56
MTMET,2017-09-02T06:56:00Z,
MTMET,2017-09-02T06:57:00Z,
MTMET,2017-09-02T06:58:00Z,
MTMET,2017-09-02T06:59:00Z,
MTMET,2017-09-02T07:00:00Z,61.3
MTMET,2017-09-02T07:01:00Z,
MTMET,2017-09-02T07:02:00Z,
MTMET,2017-09-02T07:03:00Z,
MTMET,2017-09-02T07:04:00Z,
MTMET,2017-09-02T07:05:00Z,60.78
MTMET,2017-09-02T07:06:00Z,
MTMET,2017-09-02T07:07:00Z,
MTMET,2017-09-02T07:08:00Z,
MTMET,2017-09-02T07:09:00Z,
MTMET,2017-09-02T07:10:00Z,61.07
MTMET,2017-09-02T07:11:00Z,
MTMET,2017-09-02T07:12:00Z,
MTMET,2017-09-02T07:13:00Z,
MTMET,2017-09-02T07:14:00Z,
MTMET,2017-09-02T07:15:00Z,60.18
MTMET,2017-09-02T07:16:00Z,
MTMET,2017-09-02T07:17:00Z,
MTMET,2017-09-02T07:18:00Z,
MTMET,2017-09-02T07:19:00Z,
MTMET,2017-09-02T07:20:00Z,60.0
MTMET,2017-09-02T07:21:00Z,
MTMET,2017-09-02T07:22:00Z,
MTMET,2017-09-02T07:23:00Z,
MTMET,2017-09-02T07:24:00Z,
MTMET,2017-09-02T07:25:00Z,59.96
MTMET,2017-09-02T07:26:00Z,
MTMET,2017-09-02T07:27:00Z,
MTMET,2017-09-02T07:28:00Z,
MTMET,2017-09-02T07:29:00Z,
MTMET,2017-09-02T07:30:00Z,59.65
